sha11
67452301	efcdab89	98badcfe	10325476	c3d2e1f0
d0e6cbb3	67452301	7bf36ae2	98badcfe	10325476
840a4387	d0e6cbb3	59d148c0	7bf36ae2	98badcfe
f0573047	840a4387	f439b2ec	59d148c0	7bf36ae2
bf34f83d	f0573047	e10290e1	f439b2ec	59d148c0
7f1d5cf9	bf34f83d	fc15cc11	e10290e1	f439b2ec
2e7e9485	7f1d5cf9	6fcd3e0f	fc15cc11	e10290e1
fa653728	2e7e9485	5fc7573e	6fcd3e0f	fc15cc11
f30668d7	fa653728	4b9fa521	5fc7573e	6fcd3e0f
7aa437dc	f30668d7	3e994dca	4b9fa521	5fc7573e
496a9a48	7aa437dc	fcc19a35	3e994dca	4b9fa521
500ec1d9	496a9a48	1ea90df7	fcc19a35	3e994dca
579d0b02	500ec1d9	125aa692	1ea90df7	fcc19a35
699100ce	579d0b02	5403b076	125aa692	1ea90df7
ff8f45ef	699100ce	95e742c0	5403b076	125aa692
74498f1a	ff8f45ef	9a644033	95e742c0	5403b076
d21c4fa8	74498f1a	ffe3d17b	9a644033	95e742c0
94bdd8ae	d21c4fa8	9d1263c6	ffe3d17b	9a644033
4b95a371	94bdd8ae	348713ea	9d1263c6	ffe3d17b
eaa1ed77	4b95a371	a52f762b	348713ea	9d1263c6
45a28b07	eaa1ed77	52e568dc	a52f762b	348713ea
771e53f3	45a28b07	faa87b5d	52e568dc	a52f762b
e5c37960	771e53f3	d168a2c1	faa87b5d	52e568dc
609ea309	e5c37960	ddc794fc	d168a2c1	faa87b5d
6ac317d7	609ea309	3970de58	ddc794fc	d168a2c1
e198403c	6ac317d7	5827a8c2	3970de58	ddc794fc
9c611989	e198403c	dab0c5f5	5827a8c2	3970de58
9f7d2837	9c611989	3866100f	dab0c5f5	5827a8c2
355e6a49	9f7d2837	67184662	3866100f	dab0c5f5
dba1d91c	355e6a49	e7df4a0d	67184662	3866100f
e1148681	dba1d91c	4d579a92	e7df4a0d	67184662
419804c5	e1148681	36e87647	4d579a92	e7df4a0d
6af1f9a6	419804c5	784521a0	36e87647	4d579a92
96ff6223	6af1f9a6	50660131	784521a0	36e87647
ce818991	96ff6223	9abc7e69	50660131	784521a0
ac8ede4d	ce818991	e5bfd888	9abc7e69	50660131
55c11a3a	ac8ede4d	73a06264	e5bfd888	9abc7e69
53fafa04	55c11a3a	6b23b793	73a06264	e5bfd888
3b6ed5f1	53fafa04	9570468e	6b23b793	73a06264
91214748	3b6ed5f1	14febe81	9570468e	6b23b793
c106e384	91214748	4edbb57c	14febe81	9570468e
d1a95bab	c106e384	244851d2	4edbb57c	14febe81
2590f3ac	d1a95bab	3041b8e1	244851d2	4edbb57c
3f1ed1fc	2590f3ac	f46a56ea	3041b8e1	244851d2
344b5081	3f1ed1fc	9643ceb	f46a56ea	3041b8e1
e23ab2e4	344b5081	fc7b47f	9643ceb	f46a56ea
3c24468d	e23ab2e4	4d12d420	fc7b47f	9643ceb
eed6a49c	3c24468d	388eacb9	4d12d420	fc7b47f
decf40f7	eed6a49c	4f0911a3	388eacb9	4d12d420
f2afdda1	decf40f7	3bb5a927	4f0911a3	388eacb9
3c63368b	f2afdda1	f7b3d03d	3bb5a927	4f0911a3
90767d84	3c63368b	7cabf768	f7b3d03d	3bb5a927
35f2720d	90767d84	cf18cda2	7cabf768	f7b3d03d
70c90273	35f2720d	241d9f61	cf18cda2	7cabf768
d201fbe3	70c90273	4d7c9c83	241d9f61	cf18cda2
75b2292a	d201fbe3	dc32409c	4d7c9c83	241d9f61
12704c14	75b2292a	f4807ef8	dc32409c	4d7c9c83
bf36aa13	12704c14	9d6c8a4a	f4807ef8	dc32409c
40bca3be	bf36aa13	49c1305	9d6c8a4a	f4807ef8
f0feba4a	40bca3be	efcdaa84	49c1305	9d6c8a4a
2a03902a	f0feba4a	902f28ef	efcdaa84	49c1305
367ad1be	2a03902a	bc3fae92	902f28ef	efcdaa84
8a9f1bd1	367ad1be	8a80e40a	bc3fae92	902f28ef
fde7e7c9	8a9f1bd1	8d9eb46f	8a80e40a	bc3fae92
6b3b0fd4	fde7e7c9	62a7c6f4	8d9eb46f	8a80e40a
d94710	6b3b0fd4	7f79f9f2	62a7c6f4	8d9eb46f
d2208a1f	d94710	1acec3f5	7f79f9f2	62a7c6f4
961a7359	d2208a1f	3651c4	1acec3f5	7f79f9f2
d43fa381	961a7359	f4882287	3651c4	1acec3f5
54a20d7b	d43fa381	65869cd6	f4882287	3651c4
a4ad2138	54a20d7b	750fe8e0	65869cd6	f4882287
53df4f40	a4ad2138	d528835e	750fe8e0	65869cd6
c0d4e5e5	53df4f40	292b484e	d528835e	750fe8e0
36ba7d86	c0d4e5e5	14f7d3d0	292b484e	d528835e
93fa7a34	36ba7d86	70353979	14f7d3d0	292b484e
c68d63e8	93fa7a34	8dae9f61	70353979	14f7d3d0
815280bd	c68d63e8	24fe9e8d	8dae9f61	70353979
cfe20969	815280bd	31a358fa	24fe9e8d	8dae9f61
a97be3c2	cfe20969	6054a02f	31a358fa	24fe9e8d
89d25cf	a97be3c2	73f8825a	6054a02f	31a358fa



1686696166	4167749976	1125766638	2217400016	606568991
